,cores,r_groups,name,subs,main_core,type,std_DFT_forward,Range_DFT_forward,Num_Reacs
64,C1C([*:2])C([*:1])N=[N+]1[*:3],"['*C.*CCCC*', '*CCCC*', '*c1ccccc1']",02_65,3,N1=[N+]CCC1,[3+2]cycloaddition,1.8348472035911645,6.055000000000001,1
65,C1C([*:1])N=[N+]([*:3])C1[*:2],"['*C.*CCCC*', '*CCCC*', '*c1ccccc1']",02_66,3,N1=[N+]CCC1,[3+2]cycloaddition,1.6872406280202317,5.9670000000000005,1
66,N1=NN([*:3])C([*:2])C1[*:1],"['*c1ccccc1', '*N1CCCCC1', '*c1c(F)c(F)c(C(=O)OC)c(F)c1F']",02_67,3,N1=NNCC1,[3+2]cycloaddition,3.674449568159477,15.759,2
67,N1=NN([*:3])C([*:2])C1[*:1],"['*c1ccccc1', '*N1CCCCC1', '*c1c(F)c(F)c(F)c(F)c1F']",02_68,3,N1=NNCC1,[3+2]cycloaddition,3.837777022060119,16.2,2
68,N1=NN([*:3])C([*:2])C1[*:1],"['*c1ccccc1', '*N1CCCCC1', '*c1ccccc1']",02_69,3,N1=NNCC1,[3+2]cycloaddition,3.915785710966641,16.467,2
69,N1=NC([*:3])C([*:2])C1[*:1],"['*OC(*)=O.*c1ccccc1', '*OC(*)=O.*c1ccccc1', '*C1=CCCC1']",02_70,3,N1=NCCC1,[3+2]cycloaddition,3.915541333818621,14.681000000000004,1
70,N1=NC([*:3])C([*:2])C1[*:1],"['*OC(*)=O.*c1ccccc1', '*OC(*)=O.*c1ccccc1', '*C1=CCCC1']",02_71,3,N1=NCCC1,[3+2]cycloaddition,3.741174674448768,14.472,1
71,N1=NC([*:3])C([*:2])C1[*:1],"['*C=C(OC(*)=O)c1ccccc1.*c1ccccc1', '*C=C(OC(*)=O)c1ccccc1.*CCC*', '*CCC*']",02_72,3,N1=NCCC1,[3+2]cycloaddition,2.683434486270396,8.852999999999998,1
72,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@@H]1CC[C@@H]1[C@H](*)c1ccccc1', '*[C@@H]1CC[C@@H]1[C@H](*)c1ccccc1']",02_73,4,N1[N+]CCC1,[3+2]cycloaddition,4.274456829451212,15.093,2
73,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@@H]1CC[C@@H]1[C@H](*)c1ccccc1', '*[C@@H]1CC[C@@H]1[C@H](*)c1ccccc1']",02_74,4,N1[N+]CCC1,[3+2]cycloaddition,2.650931347758051,9.8,1
74,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@@H]1CCC[C@@H]1[C@H](*)c1ccccc1', '*[C@@H]1CCC[C@@H]1[C@H](*)c1ccccc1']",02_75,4,N1[N+]CCC1,[3+2]cycloaddition,4.740856010591115,16.236,2
75,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@@H]1CCC[C@@H]1[C@H](*)c1ccccc1', '*[C@@H]1CCC[C@@H]1[C@H](*)c1ccccc1']",02_76,4,N1[N+]CCC1,[3+2]cycloaddition,2.62566128211943,8.918999999999999,1
76,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@@H]1[C@H]2CC[C@H](C2)[C@@H]1[C@H](*)c1ccccc1', '*[C@@H]1[C@H]2CC[C@H](C2)[C@@H]1[C@H](*)c1ccccc1']",02_77,4,N1[N+]CCC1,[3+2]cycloaddition,4.465847535521821,15.477,2
77,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@@H]1[C@H]2CC[C@H](C2)[C@@H]1[C@H](*)c1ccccc1', '*[C@@H]1[C@H]2CC[C@H](C2)[C@@H]1[C@H](*)c1ccccc1']",02_78,4,N1[N+]CCC1,[3+2]cycloaddition,2.9596358146338133,10.559,1
78,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@H](c1ccccc1)[C@H]1CCCCCC[C@@H]1*', '*[C@H](c1ccccc1)[C@H]1CCCCCC[C@@H]1*']",02_79,4,N1[N+]CCC1,[3+2]cycloaddition,4.49631878991318,15.094,2
79,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@H](c1ccccc1)[C@H]1CCCCCC[C@@H]1*', '*[C@H](c1ccccc1)[C@H]1CCCCCC[C@@H]1*']",02_80,4,N1[N+]CCC1,[3+2]cycloaddition,2.860087493600962,10.523,1
80,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@H](C)[C@H](C)[C@H](*)c1ccccc1', '*[C@H](C)[C@H](C)[C@H](*)c1ccccc1']",02_81,4,N1[N+]CCC1,[3+2]cycloaddition,4.828481529861176,16.381999999999998,2
81,C1C([*:1])N([*:4])[NH+]([*:3])C1[*:2],"['*CC*', '*CC*', '*[C@H](C)[C@H](C)[C@H](*)c1ccccc1', '*[C@H](C)[C@H](C)[C@H](*)c1ccccc1']",02_82,4,N1[N+]CCC1,[3+2]cycloaddition,4.643419224246855,17.295,2
82,C1=C([*:3])C([*:2])=C([*:1])C([*:5])C([*:4])C1,"['*[O-]', '*CCCC*', '*CCCC*', '*C.*[C@@H](CC1(*)OCCO1)C(C)C', '*[C@@H](CC1(*)OCCO1)C(C)C']",02_83,5,C1CCC=CC=C1,Electrocyclic,3.313381734088223,13.999999999999998,1
83,C1=CC([*:3])CC([*:2])=C1[*:1],"['*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_84,3,C1CC=CC=C1,Electrocyclic,2.0036787246409906,7.170999999999999,1
84,C1=CC([*:3])CC([*:2])=C1[*:1],"['*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_85,3,C1CC=CC=C1,Electrocyclic,2.034955618292708,7.637000000000004,1
85,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*Sc1ccccc1', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_86,4,C1CC=CC=C1,Electrocyclic,2.783752943420087,10.724,1
86,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*Sc1ccccc1', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_87,4,C1CC=CC=C1,Electrocyclic,2.436168442776269,9.366000000000003,1
87,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*C(=O)OC', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_88,4,C1CC=CC=C1,Electrocyclic,2.076502692408307,7.119000000000003,1
88,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*C(=O)OC', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_89,4,C1CC=CC=C1,Electrocyclic,2.136706882712643,7.588000000000004,1
89,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*C', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_90,4,C1CC=CC=C1,Electrocyclic,2.033371125547554,7.580000000000002,1
90,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*C', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_91,4,C1CC=CC=C1,Electrocyclic,2.041519668105884,7.811,1
91,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*[Si](C)(C)C', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_92,4,C1CC=CC=C1,Electrocyclic,2.485459700675956,7.864000000000001,1
92,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*[Si](C)(C)C', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_93,4,C1CC=CC=C1,Electrocyclic,2.3630531544013804,8.428999999999998,1
93,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*C(C)(C)C', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_94,4,C1CC=CC=C1,Electrocyclic,2.5056390843560514,8.328,1
94,C1=C([*:1])C([*:2])=C([*:3])CC1[*:4],"['*C(C)(C)C', '*C[C@@H]1c2ccccc2CCN1C*', '*C[C@@H]1c2ccccc2CCN1C*', '*C']",02_95,4,C1CC=CC=C1,Electrocyclic,2.4767171921719284,8.383000000000003,1
95,C1=C([*:1])C([*:2])=C([*:3])CCC1,"['*CCCC*', '*CCCC*', '*[O-]']",02_96,3,C1CCC=CC=C1,Electrocyclic,2.9412219336795875,12.642,1
96,C1=C([*:1])C([*:2])=C([*:3])CCC1,"['*CCCC*', '*CCCC*', '*O']",02_97,3,C1CCC=CC=C1,Electrocyclic,4.269045985808465,18.763,1
97,C(C=C[*:2])=C[*:1],"['*C', '*C']",02_98,2,C=CC=C,Electrocyclic,3.483150997452253,16.276,1
98,C(C=C[*:2])=C[*:1],"['*C', '*C']",02_99,2,C=CC=C,Electrocyclic,3.714990799733596,17.348999999999997,1
99,C(C=C[*:2])=C[*:1],"['*CCCN(CC*)c1ccccc1', '*CCCN(CC*)c1ccccc1']",02_100,2,C=CC=C,Electrocyclic,3.3529192979284552,15.650999999999996,1
100,C(C=C[*:2])=C[*:1],"['*CCCN(CC*)c1ccccc1', '*CCCN(CC*)c1ccccc1']",02_101,2,C=CC=C,Electrocyclic,3.765293813586342,17.325000000000003,1
101,C1=CC([*:2])C1[*:1],"['*CCCN(CC*)c1ccccc1', '*CCCN(CC*)c1ccccc1']",02_102,2,C1C=CC1,Electrocyclic,1.6500298011662826,6.882999999999996,1
102,C1=CC([*:2])C1[*:1],"['*CCCN(CC*)c1ccccc1', '*CCCN(CC*)c1ccccc1']",02_103,2,C1C=CC1,Electrocyclic,1.6790887965923982,6.581000000000003,1
103,C1=CC([*:2])C1[*:1],"['*CCS(=O)(=O)CC*', '*CCS(=O)(=O)CC*']",02_104,2,C1C=CC1,Electrocyclic,1.8962680828683645,7.961999999999999,1
104,C1=CC([*:2])C1[*:1],"['*CCS(=O)(=O)CC*', '*CCS(=O)(=O)CC*']",02_105,2,C1C=CC1,Electrocyclic,1.9487458477049715,7.532000000000004,1
105,C(=C(CCC(=C[*:4])[*:3])[*:2])[*:1],"['*F.*F', '*CC(*)=C', '*CC(*)=C', '*F.*F']",02_109,4,C=CCCC=C,"[3,3]rearrangement",3.497419191346669,12.602999999999994,1
106,C=C(CC(C(=C)[*:3])[*:2])[*:1],"['*C(F)(F)C(*)(F)F', '*=C', '*C(F)(F)C(*)(F)F']",02_110,3,C=CCCC=C,"[3,3]rearrangement",3.4974313642112285,12.604,1
107,C=C(CCC(=C)[*:2])[*:1],"['*CC(*)=C', '*CC(*)=C']",02_111,2,C=CCCC=C,"[3,3]rearrangement",3.641780939393021,13.637,1
108,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](O)C[C@H](*)O', '*/C=C/C(=O)O[C@H](CC)[C@H](C)/C=C(/*)C', '*/C=C/C(=O)O[C@H](CC)[C@H](C)/C=C(/*)C', '*C[C@@H](O)C[C@H](*)O']",02_118,4,C1C=CCCC1,Diels-Alder,4.4290708883704415,15.363000000000005,1
109,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](O)C[C@H](*)O', '*/C=C/C(=O)O[C@H](CC)[C@H](C)/C=C(/*)C', '*/C=C/C(=O)O[C@H](CC)[C@H](C)/C=C(/*)C', '*C[C@@H](O)C[C@H](*)O']",02_120,4,C1C=CCCC1,Diels-Alder,4.570772650047369,15.657999999999998,1
110,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*/C=C/C=C\\[C@@H](O)[C@@H](O)/C=C(/*)C.*C', '*C(=O)N1[C@H](C)C[C@H](O)[C@H]1*', '*C(=O)N1[C@H](C)C[C@H](O)[C@H]1*', '*/C=C/C=C\\[C@@H](O)[C@@H](O)/C=C(/*)C']",02_122,4,C1C=CCCC1,Diels-Alder,4.750004803044663,16.025,1
111,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*CCC*', '*/C=C/CCCC/C=C/*', '*/C=C/CCCC/C=C/*', '*CCC*']",02_124,4,C1C=CCCC1,Diels-Alder,4.090750093358893,14.227,1
112,C(=C[*:1])C(C(C(=C[*:5])[*:4])[*:3])[*:2],"['*/C=C\\[C@H]1C[C@@H](O)C[C@@H](O)[C@H]1*', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C', '*/C=C\\[C@H]1C[C@@H](O)C[C@@H](O)[C@H]1*']",02_126,5,C=CCCC=C,"[3,3]rearrangement",4.361832600132535,16.543,1
113,C(=C[*:1])C(C(C(=C[*:5])[*:4])[*:3])[*:2],"['*/C=C\\[C@@H]1C[C@@H](O)C[C@@H](O)[C@H]1*', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C(=O)O[C@H](CC)[C@@H](*)C', '*C', '*/C=C\\[C@@H]1C[C@@H](O)C[C@@H](O)[C@H]1*']",02_127,5,C=CCCC=C,"[3,3]rearrangement",4.429555958498965,16.764000000000003,1
114,C=C=CC(C(=C[*:1])[*:2])[*:3],"['*C#N.*C#N', '*CCCC*', '*CCCC*']",02_128,3,C=C=CCC=C,"[3,3]rearrangement",4.499430189362579,17.337999999999997,1
115,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*CCCC*', '*CCCC*', '*C']",02_129,4,C=C=CCC=C,"[3,3]rearrangement",4.92460386090517,18.673,1
116,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*CCCC*', '*CCCC*', '*COC(C)=O']",02_130,4,C=C=CCC=C,"[3,3]rearrangement",4.9789289154131176,19.39,1
117,C=C=CC(C(=C[*:1])[*:2])[*:3],"['*C#N.*C#N', '*C[C@H]1C=C[C@@H](*)C1', '*C[C@H]1C=C[C@@H](*)C1']",02_131,3,C=C=CCC=C,"[3,3]rearrangement",4.418258288356577,16.796000000000003,1
118,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*C[C@H]1C=C[C@@H](*)C1', '*C[C@H]1C=C[C@@H](*)C1', '*C']",02_132,4,C=C=CCC=C,"[3,3]rearrangement",4.750890027419239,17.648,1
119,C=C=C(C(C(=C[*:1])[*:2])[*:3])[*:4],"['*C#N.*C#N', '*C[C@H]1C=C[C@@H](*)C1', '*C[C@H]1C=C[C@@H](*)C1', '*COC(C)=O']",02_133,4,C=C=CCC=C,"[3,3]rearrangement",4.812191901005743,18.491000000000003,1
120,ERROR,ERROR,02_134,ERROR,ERROR,ERROR,3.660084725795292,14.886,1
121,C=CC(CC(=O)[*:1])[*:2],"['*C(=O)O', '*C(=O)O']",02_135,2,C=CCCC=O,"[3,3]rearrangement",3.889021497822597,15.515,1
122,O=CCC(C=C[*:2])[*:1],"['*C=CC*', '*C=CC*']",02_136,2,C=CCCC=O,"[3,3]rearrangement",4.863871653647729,19.042,1
123,O=C(CC(C=C[*:3])[*:2])[*:1],"['*C(=O)O', '*C(=O)O.*C=C[C@H](*)O', '*C=C[C@H](*)O']",02_137,3,C=CCCC=O,"[3,3]rearrangement",5.150618547422497,18.585,1
124,O=C(C(CC=C[*:3])[*:2])[*:1],"['*C=Cc1c(C)cc(=O)oc1*', '*C=Cc1c(C)cc(=O)oc1*', '*C.*C']",02_138,3,C=CCCC=O,"[3,3]rearrangement",4.734555526017978,18.638,1
125,C=CC(CC(=O)[*:1])[*:2],"['*C(=O)[O-]', '*C(=O)[O-]']",02_139,2,C=CCCC=O,"[3,3]rearrangement",3.7060423759187184,13.784,1
