,Name,Type,pbe-qidh-DFT-forward,REF-forward,pbe-qidh-DELTA-forward,pbe-qidh-DFT-reverse,REF-reverse,pbe-qidh-DELTA-reverse,pbe-qidh-DFT-reaction,REF-reaction,pbe-qidh-DELTA-reaction
0,02_1,Diels-Alder,4.298,8.1,-3.802,43.885,43.77,0.115,-39.588,-35.66,-3.928
1,02_2,Diels-Alder,5.244,8.85,-3.606,43.66,43.49,0.170,-38.415,-34.63,-3.785
2,02_3,Diels-Alder,7.323,11.45,-4.127,48.941,47.83,1.111,-41.618,-36.38,-5.238
3,02_4,Diels-Alder,5.865,10.15,-4.285,48.372,47.06,1.312,-42.507,-36.92,-5.587
4,02_5,Diels-Alder,22.351,26.57,-4.219,100.932,93.72,7.212,-78.581,-67.15,-11.431
5,02_6,Diels-Alder,22.23,26.77,-4.540,66.95,62.05,4.900,-44.72,-35.27,-9.450
6,02_7,Diels-Alder,13.471,19.07,-5.599,38.778,39.4,-0.622,-25.307,-20.32,-4.987
7,02_8,Diels-Alder,6.628,12.2,-5.572,36.787,36.77,0.017,-30.158,-24.57,-5.588
8,02_9,Diels-Alder,13.136,17.83,-4.694,48.48,47.85,0.630,-35.344,-30.02,-5.324
9,02_10,Diels-Alder,16.109,19.75,-3.641,51.774,50.92,0.854,-35.665,-31.17,-4.495
10,02_11,Diels-Alder,19.544,23.08,-3.536,46.021,45.7,0.321,-26.476,-22.62,-3.856
11,02_12,Diels-Alder,20.104,24.51,-4.406,45.135,44.87,0.265,-25.031,-20.36,-4.671
12,02_13,Diels-Alder,20.707,24.9,-4.193,63.18,60.92,2.260,-42.473,-36.03,-6.443
13,02_14,Diels-Alder,18.293,21.97,-3.677,62.674,60.48,2.194,-44.381,-38.51,-5.871
14,02_15,Diels-Alder,21.304,25.29,-3.986,62.562,60.68,1.882,-41.258,-35.39,-5.868
15,02_16,Diels-Alder,18.276,23.43,-5.154,54.658,53.32,1.338,-36.382,-29.89,-6.492
16,02_17,Diels-Alder,10.074,15.27,-5.196,62.309,59.46,2.849,-52.235,-44.18,-8.055
17,02_18,Diels-Alder,15.227,19.86,-4.633,73.443,70.4,3.043,-58.217,-50.54,-7.677
18,02_19,Diels-Alder,16.476,22.04,-5.564,60.543,59.33,1.213,-44.067,-37.29,-6.777
19,02_20,Diels-Alder,13.912,19.1,-5.188,59.454,56.89,2.564,-45.542,-37.79,-7.752
20,02_21,Diels-Alder,7.078,12.4,-5.322,64.915,62.14,2.775,-57.837,-49.74,-8.097
21,02_22,Diels-Alder,3.748,8.83,-5.082,71.945,68.85,3.095,-68.197,-60.01,-8.187
22,02_23,Diels-Alder,19.764,24.81,-5.046,59.277,57.02,2.257,-39.514,-32.21,-7.304
23,02_24,Diels-Alder,23.254,26.62,-3.366,76.815,73.95,2.865,-53.561,-47.33,-6.231
24,02_25,Diels-Alder,18.926,23.55,-4.624,56.043,54.52,1.523,-37.117,-30.97,-6.147
25,02_26,Diels-Alder,23.593,27.83,-4.237,49.235,47.79,1.445,-25.642,-19.96,-5.682
26,02_27,Diels-Alder,25.102,29.6,-4.498,51.643,50.22,1.423,-26.541,-20.62,-5.921
27,02_28,Diels-Alder,18.257,21.69,-3.433,38.668,38.32,0.348,-20.411,-16.63,-3.781
28,02_29,Diels-Alder,-0.135,1.65,-1.785,34.446,35.57,-1.124,-34.581,-33.92,-0.661
29,02_30,Diels-Alder,7.126,7.98,-0.854,55.448,55.02,0.428,-48.322,-47.04,-1.282
30,02_31,Diels-Alder,15.093,15.12,-0.027,36.74,36.68,0.060,-21.647,-21.56,-0.087
31,02_32,Diels-Alder,5.617,6.61,-0.993,54.479,54.79,-0.311,-48.863,-48.18,-0.683
32,02_33,Diels-Alder,9.148,11.62,-2.472,54.572,53.25,1.322,-45.424,-41.63,-3.794
33,02_34,Diels-Alder,16.577,18.28,-1.703,31.416,30.48,0.936,-14.839,-12.21,-2.629
34,02_35,Diels-Alder,14.894,16.53,-1.636,31.183,29.81,1.373,-16.288,-13.28,-3.008
35,02_36,Diels-Alder,13.737,15.49,-1.753,35.487,33.65,1.837,-21.75,-18.16,-3.590
36,02_37,Diels-Alder,15.205,17.0,-1.795,35.8,34.43,1.370,-20.595,-17.43,-3.165
37,02_38,Diels-Alder,17.849,22.73,-4.881,37.858,36.09,1.768,-20.009,-13.36,-6.649
38,02_39,Diels-Alder,31.9,37.42,-5.520,40.026,39.32,0.706,-8.126,-1.9,-6.226
39,02_40,Diels-Alder,11.824,14.26,-2.436,27.123,27.77,-0.647,-15.299,-13.51,-1.789
40,02_41,Diels-Alder,27.305,28.06,-0.755,30.564,31.78,-1.216,-3.259,-3.72,0.461
41,02_42,Diels-Alder,4.963,8.58,-3.617,49.202,47.74,1.462,-44.24,-39.15,-5.090
42,02_43,Diels-Alder,13.655,16.35,-2.695,50.69,48.76,1.930,-37.035,-32.41,-4.625
43,02_44,Diels-Alder,13.557,16.64,-3.083,55.014,53.18,1.834,-41.457,-36.54,-4.917
44,02_45,Diels-Alder,12.823,16.98,-4.157,63.66,59.46,4.200,-50.837,-42.48,-8.357
45,02_46,Diels-Alder,22.243,26.48,-4.237,52.991,51.36,1.631,-30.748,-24.88,-5.868
46,02_47,Diels-Alder,-3.131,-1.34,-1.791,92.677,88.51,4.167,-95.808,-89.85,-5.958
47,02_48,Diels-Alder,-1.139,1.98,-3.119,90.24,86.44,3.800,-91.379,-84.47,-6.909
48,02_49,Diels-Alder,9.614,13.95,-4.336,48.831,47.2,1.631,-39.217,-33.24,-5.977
49,02_50,[3+2]cycloaddition,15.743,18.44,-2.697,36.972,35.48,1.492,-21.229,-17.04,-4.189
50,02_51,[3+2]cycloaddition,-4.298,-1.95,-2.348,26.241,24.26,1.981,-30.539,-26.21,-4.329
51,02_52,[3+2]cycloaddition,10.149,12.39,-2.241,37.431,36.11,1.321,-27.282,-23.72,-3.562
52,02_53,[3+2]cycloaddition,8.82,10.45,-1.630,36.924,35.89,1.034,-28.104,-25.44,-2.664
53,02_54,[3+2]cycloaddition,-1.332,-0.12,-1.212,27.748,26.38,1.368,-29.08,-26.5,-2.580
54,02_55,[3+2]cycloaddition,12.021,12.65,-0.629,54.876,52.78,2.096,-42.855,-40.12,-2.735
55,02_56,[3+2]cycloaddition,11.121,11.6,-0.479,98.094,91.82,6.274,-86.973,-80.21,-6.763
56,02_57,[3+2]cycloaddition,7.619,8.1,-0.481,90.389,84.96,5.429,-82.77,-76.87,-5.900
57,02_58,[3+2]cycloaddition,14.917,15.43,-0.513,71.478,68.29,3.188,-56.561,-52.86,-3.701
58,02_59,[3+2]cycloaddition,14.981,15.3,-0.319,71.194,67.99,3.204,-56.212,-52.69,-3.522
59,02_60,[3+2]cycloaddition,5.548,5.93,-0.382,93.04,86.94,6.100,-87.492,-81.0,-6.492
60,02_61,[3+2]cycloaddition,0.662,0.41,0.252,59.815,56.6,3.215,-59.153,-56.19,-2.963
61,02_62,[3+2]cycloaddition,4.069,3.87,0.199,61.739,58.42,3.319,-57.671,-54.55,-3.121
62,02_63,[3+2]cycloaddition,15.532,16.87,-1.338,44.355,41.5,2.855,-28.823,-24.63,-4.193
63,02_64,[3+2]cycloaddition,3.86,5.38,-1.520,54.118,50.91,3.208,-50.257,-45.54,-4.717
64,02_65,[3+2]cycloaddition,6.499,8.08,-1.581,60.248,56.87,3.378,-53.75,-48.79,-4.960
65,02_66,[3+2]cycloaddition,6.04,6.79,-0.750,59.295,55.77,3.525,-53.255,-48.98,-4.275
66,02_67,[3+2]cycloaddition,8.443,6.93,1.513,35.095,34.09,1.005,-26.651,-27.16,0.509
67,02_68,[3+2]cycloaddition,10.531,8.7,1.831,36.108,35.15,0.958,-25.577,-26.45,0.873
68,02_69,[3+2]cycloaddition,14.82,13.35,1.470,39.932,38.42,1.512,-25.112,-25.07,-0.042
69,02_70,[3+2]cycloaddition,33.851,33.3,0.551,42.269,41.8,0.469,-8.418,-8.51,0.092
70,02_71,[3+2]cycloaddition,34.988,34.78,0.208,40.289,40.16,0.129,-5.301,-5.38,0.079
71,02_72,[3+2]cycloaddition,25.397,26.38,-0.983,52.416,51.44,0.976,-27.019,-25.06,-1.959
72,02_73,[3+2]cycloaddition,8.497,10.06,-1.563,47.335,45.53,1.805,-38.839,-35.47,-3.369
73,02_74,[3+2]cycloaddition,24.007,27.86,-3.853,26.682,26.23,0.452,-2.675,1.63,-4.305
74,02_75,[3+2]cycloaddition,8.34,9.79,-1.450,43.514,41.83,1.684,-35.174,-32.04,-3.134
75,02_76,[3+2]cycloaddition,16.385,20.35,-3.965,38.045,37.37,0.675,-21.66,-17.02,-4.640
76,02_77,[3+2]cycloaddition,5.552,6.99,-1.438,48.044,46.28,1.764,-42.492,-39.3,-3.192
77,02_78,[3+2]cycloaddition,15.138,19.13,-3.992,39.249,38.27,0.979,-24.111,-19.14,-4.971
78,02_79,[3+2]cycloaddition,0.623,1.94,-1.317,44.009,42.25,1.759,-43.385,-40.31,-3.075
79,02_80,[3+2]cycloaddition,25.242,28.38,-3.138,42.59,41.25,1.340,-17.348,-12.87,-4.478
80,02_81,[3+2]cycloaddition,9.881,11.14,-1.259,44.598,43.06,1.538,-34.717,-31.92,-2.797
81,02_82,Electrocyclic,8.777,10.61,-1.833,39.182,37.95,1.232,-30.405,-27.34,-3.065
82,02_83,Electrocyclic,18.503,17.65,0.853,46.055,44.98,1.075,-27.552,-27.33,-0.222
83,02_84,Electrocyclic,24.198,26.68,-2.482,51.546,50.51,1.036,-27.348,-23.83,-3.518
84,02_85,Electrocyclic,28.101,30.66,-2.559,52.489,51.43,1.059,-24.388,-20.78,-3.608
85,02_86,Electrocyclic,26.056,27.74,-1.684,54.568,52.7,1.868,-28.512,-24.96,-3.552
86,02_87,Electrocyclic,28.529,30.73,-2.201,54.941,53.65,1.291,-26.412,-22.91,-3.502
87,02_88,Electrocyclic,21.944,24.91,-2.966,52.514,51.36,1.154,-30.57,-26.45,-4.120
88,02_89,Electrocyclic,25.374,28.62,-3.246,53.985,52.88,1.105,-28.611,-24.26,-4.351
89,02_90,Electrocyclic,24.872,27.43,-2.558,53.218,52.17,1.048,-28.345,-24.74,-3.605
90,02_91,Electrocyclic,28.345,31.0,-2.655,55.667,54.55,1.117,-27.322,-23.55,-3.772
91,02_92,Electrocyclic,20.2,23.66,-3.460,54.517,53.48,1.037,-34.317,-29.82,-4.497
92,02_93,Electrocyclic,25.389,28.69,-3.301,56.106,54.95,1.156,-30.716,-26.26,-4.456
93,02_94,Electrocyclic,22.094,25.6,-3.506,55.498,54.46,1.038,-33.404,-28.86,-4.544
94,02_95,Electrocyclic,24.42,28.02,-3.600,56.981,55.88,1.101,-32.561,-27.86,-4.701
95,02_96,Electrocyclic,12.023,11.39,0.633,15.22,15.19,0.030,-3.197,-3.8,0.603
96,02_97,Electrocyclic,45.224,43.52,1.704,19.706,21.76,-2.054,25.518,21.76,3.758
97,02_98,Electrocyclic,34.985,33.08,1.905,45.064,45.42,-0.356,-10.079,-12.34,2.261
98,02_99,Electrocyclic,47.763,44.28,3.483,55.423,54.35,1.073,-7.66,-10.07,2.410
99,02_100,Electrocyclic,38.213,36.07,2.143,17.281,19.79,-2.509,20.931,16.28,4.651
100,02_101,Electrocyclic,45.028,41.8,3.228,45.536,45.81,-0.274,-0.508,-4.01,3.502
101,02_102,Electrocyclic,37.787,38.73,-0.943,39.283,36.55,2.733,-1.495,2.18,-3.675
102,02_103,Electrocyclic,35.411,36.24,-0.829,39.37,36.68,2.690,-3.958,-0.44,-3.518
103,02_104,Electrocyclic,10.373,13.1,-2.727,43.19,40.49,2.700,-32.818,-27.39,-5.428
104,02_105,Electrocyclic,48.486,48.25,0.236,45.59,42.24,3.350,2.896,6.01,-3.114
105,02_106,[4+6]cycloaddition,6.473,11.53,-5.057,25.215,29.79,-4.575,-18.742,-18.26,-0.482
106,02_107,[6+4]cycloaddition,6.472,11.53,-5.058,31.766,36.38,-4.614,-25.294,-24.85,-0.444
107,02_108,[8+2]cycloaddition,6.473,11.53,-5.057,31.144,35.01,-3.866,-24.672,-23.48,-1.192
108,02_109,"[3,3]rearrangement",41.999,43.45,-1.451,51.732,50.58,1.152,-9.733,-7.13,-2.603
109,02_110,"[3,3]rearrangement",41.998,43.45,-1.452,54.875,57.37,-2.495,-12.876,-13.92,1.044
110,02_111,"[3,3]rearrangement",35.572,36.96,-1.388,49.017,51.17,-2.153,-13.444,-14.22,0.776
111,02_112,[4+6]cycloaddition,7.493,12.84,-5.347,25.898,31.12,-5.222,-18.405,-18.28,-0.125
112,02_113,[6+4]cycloaddition,7.493,12.84,-5.347,31.545,36.75,-5.205,-24.053,-23.91,-0.143
113,02_114,[8+2]cycloaddition,7.493,12.84,-5.347,32.88,37.94,-5.060,-25.388,-25.1,-0.288
114,02_115,[4+6]cycloaddition,7.342,11.83,-4.488,25.748,30.11,-4.362,-18.406,-18.28,-0.126
115,02_116,[6+4]cycloaddition,7.342,11.83,-4.488,31.387,35.81,-4.423,-24.045,-23.98,-0.065
116,02_117,[8+2]cycloaddition,7.342,11.83,-4.488,36.402,40.21,-3.808,-29.06,-28.38,-0.680
117,02_118,[4+2]intramolecular,16.688,22.52,-5.832,41.401,41.61,-0.209,-24.712,-19.09,-5.622
118,02_119,[6+4]intramolecular,13.02,18.91,-5.890,46.769,47.58,-0.811,-33.748,-28.67,-5.078
119,02_120,[4+2]intramolecular,10.521,16.79,-6.269,42.271,43.12,-0.849,-31.75,-26.33,-5.420
120,02_121,[6+4]intramolecular,10.521,16.79,-6.269,53.807,54.33,-0.523,-43.286,-37.54,-5.746
121,02_122,[4+2]intramolecular,12.117,19.29,-7.173,34.86,37.46,-2.600,-22.743,-18.17,-4.573
122,02_123,[6+4]intramolecular,12.117,19.29,-7.173,40.378,41.95,-1.572,-28.261,-22.66,-5.601
123,02_124,[4+2]intramolecular,15.167,21.68,-6.513,45.265,46.02,-0.755,-30.098,-24.34,-5.758
124,02_125,[6+4]intramolecular,15.167,21.68,-6.513,46.729,47.32,-0.591,-31.562,-25.64,-5.922
125,02_126,"[3,3]rearrangement",18.449,20.25,-1.801,23.817,26.19,-2.373,-5.368,-5.95,0.582
126,02_127,"[3,3]rearrangement",18.531,20.95,-2.419,30.067,32.16,-2.093,-11.536,-11.21,-0.326
127,02_128,"[3,3]rearrangement",31.005,32.74,-1.735,41.592,41.45,0.142,-10.587,-8.71,-1.877
128,02_129,"[3,3]rearrangement",33.405,34.42,-1.015,39.674,40.15,-0.476,-6.269,-5.73,-0.539
129,02_130,"[3,3]rearrangement",33.754,35.4,-1.646,42.734,43.32,-0.586,-8.98,-7.92,-1.060
130,02_131,"[3,3]rearrangement",29.723,32.39,-2.667,42.861,43.38,-0.519,-13.138,-10.99,-2.148
131,02_132,"[3,3]rearrangement",31.571,32.92,-1.349,40.592,41.1,-0.508,-9.02,-8.18,-0.840
132,02_133,"[3,3]rearrangement",31.767,33.84,-2.073,44.266,44.83,-0.564,-12.5,-10.99,-1.510
133,02_134,"[3,3]rearrangement",31.908,32.08,-0.172,50.43,49.61,0.820,-18.522,-17.53,-0.992
134,02_135,"[3,3]rearrangement",28.068,28.35,-0.282,44.172,44.42,-0.248,-16.105,-16.07,-0.035
135,02_136,"[3,3]rearrangement",29.591,29.79,-0.199,46.641,45.83,0.811,-17.051,-16.04,-1.011
136,02_137,"[3,3]rearrangement",25.339,25.98,-0.641,41.356,41.35,0.006,-16.017,-15.37,-0.647
137,02_138,"[3,3]rearrangement",31.548,31.94,-0.392,26.2,28.09,-1.890,5.348,3.85,1.498
138,02_139,"[3,3]rearrangement",34.471,34.37,0.101,51.93,50.96,0.970,-17.459,-16.59,-0.869
139,02_140,[2+2+2]intramolecular,51.391,54.84,-3.449,157.325,144.39,12.935,-105.934,-89.55,-16.384
